#{"t_start": 1757053935.2057338, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
695.0,4477,16971.850536
320.0,3895,16984.329427
310.0,4380,16997.794178
565.0,4247,17010.843358
425.0,2607,17018.984207
300.0,3147,17028.532249
435.0,5151,17043.950163
765.0,5625,17061.622196
390.0,4099,17074.391563
260.0,3383,17084.496468
435.0,4572,17098.477528
315.0,5333,17115.818023
350.0,4143,17128.614032
245.0,2785,17136.754501
405.0,4301,17149.76854
240.0,2647,17157.740276
485.0,3737,17174.972843
530.0,4325,17188.59017
105.0,1819,17194.117181
420.0,4347,17207.797944
700.0,4877,17222.135957
400.0,4009,17234.112448
600.0,5621,17250.795344
335.0,4409,17265.273192
765.0,5235,17281.434434
525.0,4857,17296.666533
820.0,6315,17316.16515
555.0,4197,17328.939926
700.0,5477,17345.408831
560.0,4533,17358.949711
350.0,3371,17369.058217
390.0,4303,17381.958649
465.0,4445,17395.408326
720.0,5565,17412.120996
600.0,6019,17430.155157
335.0,2951,17439.295813
295.0,3024,17448.533044
180.0,1531,17453.015621
360.0,3011,17462.086216
510.0,4523,17475.577078
395.0,3561,17492.943459
140.0,2539,17500.348802
320.0,3221,17509.989607
715.0,3685,17520.791598
600.0,4219,17533.458233
